DE/eV lambda/nm diff_rate +/-error
2.3812 5.2068E+02 5.46481884E-11 5.34809953E-11
2.3862 5.1959E+02 2.75947649E-11 2.71136846E-11
2.3912 5.1850E+02 1.33974218E-11 1.32074308E-11
2.3962 5.1742E+02 6.25322657E-12 6.18137061E-12
2.4012 5.1634E+02 2.80562551E-12 2.77961784E-12
2.4062 5.1527E+02 1.20992911E-12 1.20092922E-12
2.4112 5.1420E+02 5.01491430E-13 4.98517603E-13
2.4162 5.1314E+02 1.99762802E-13 1.98826156E-13
2.4212 5.1208E+02 7.64701503E-14 7.61896369E-14
2.4262 5.1102E+02 2.81305324E-14 2.80509312E-14
2.4312 5.0997E+02 9.94393380E-15 9.92264376E-15
2.4362 5.0892E+02 3.37769872E-15 3.37237674E-15
2.4412 5.0788E+02 1.10244332E-15 1.10121780E-15
2.4462 5.0684E+02 3.45745321E-16 3.45492593E-16
