      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.5042   4.9510E+02       2.12821779       0.38669617
      2.5092   4.9412E+02       1.98850554       0.36474238
      2.5142   4.9314E+02       1.84484179       0.34154052
      2.5192   4.9216E+02       1.70610515       0.31950614
      2.5242   4.9118E+02       1.57929935       0.30124386
      2.5292   4.9021E+02       1.46855352       0.28887241
      2.5342   4.8924E+02       1.37470019       0.28310950
      2.5392   4.8828E+02       1.29550560       0.28272111
      2.5442   4.8732E+02       1.22648801       0.28489513
      2.5492   4.8637E+02       1.16213015       0.28632583
      2.5542   4.8541E+02       1.09720540       0.28428647
      2.5592   4.8446E+02       1.02792282       0.27723741
      2.5642   4.8352E+02       0.95265650       0.26494429
      2.5692   4.8258E+02       0.87214081       0.24825140
      2.5742   4.8164E+02       0.78914705       0.22867973
      2.5792   4.8071E+02       0.70776895       0.20802597
      2.5842   4.7978E+02       0.63250775       0.18812350
      2.5892   4.7885E+02       0.56735594       0.17082487
      2.5942   4.7793E+02       0.51504574       0.15804204
      2.5992   4.7701E+02       0.47657373       0.15145104
      2.6042   4.7609E+02       0.45105536       0.15165601
      2.6092   4.7518E+02       0.43591006       0.15745879
      2.6142   4.7427E+02       0.42732990       0.16616327
      2.6192   4.7337E+02       0.42094293       0.17465343
      2.6242   4.7246E+02       0.41254881       0.18030523
      2.6292   4.7157E+02       0.39878981       0.18139805
      2.6342   4.7067E+02       0.37763152       0.17717954
      2.6392   4.6978E+02       0.34856969       0.16775428
      2.6442   4.6889E+02       0.31254180       0.15388460
      2.6492   4.6801E+02       0.27158918       0.13675417
      2.6542   4.6712E+02       0.22836729       0.11773376
      2.6592   4.6625E+02       0.18562422       0.09817928
      2.6642   4.6537E+02       0.14575667       0.07927960
      2.6692   4.6450E+02       0.11051614       0.06195968
      2.6742   4.6363E+02       0.08089030       0.04683611
      2.6792   4.6277E+02       0.05714070       0.03421787
      2.6842   4.6190E+02       0.03894904       0.02414272
      2.6892   4.6104E+02       0.02561428       0.01643794
      2.6942   4.6019E+02       0.01624941       0.01079258
      2.6992   4.5934E+02       0.00994270       0.00682874
      2.7042   4.5849E+02       0.00586748       0.00416151
      2.7092   4.5764E+02       0.00334031       0.00244146
      2.7142   4.5680E+02       0.00183754       0.00137838
      2.7192   4.5596E+02       0.00098450       0.00074881
      2.7242   4.5512E+02       0.00053106       0.00039291
      2.7292   4.5429E+02       0.00032420       0.00021303
      2.7342   4.5346E+02       0.00028444       0.00019496
      2.7392   4.5263E+02       0.00038946       0.00034064
      2.7442   4.5180E+02       0.00066569       0.00064384
      2.7492   4.5098E+02       0.00118643       0.00117803
      2.7542   4.5016E+02       0.00207359       0.00207176
      2.7592   4.4935E+02       0.00349879       0.00350077
      2.7642   4.4854E+02       0.00567842       0.00568353
      2.7692   4.4773E+02       0.00885682       0.00886548
      2.7742   4.4692E+02       0.01327345       0.01328667
      2.7792   4.4611E+02       0.01911285       0.01913197
      2.7842   4.4531E+02       0.02644224       0.02646871
      2.7892   4.4452E+02       0.03514801       0.03518321
      2.7942   4.4372E+02       0.04488829       0.04493325
      2.7992   4.4293E+02       0.05508014       0.05513530
      2.8042   4.4214E+02       0.06493616       0.06500119
