      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.9897   4.1470E+02       4.07134745       0.57735095
      2.9947   4.1401E+02       3.99149550       0.56856991
      2.9997   4.1332E+02       3.89243543       0.55540654
      3.0047   4.1263E+02       3.78190040       0.53911257
      3.0097   4.1195E+02       3.67064079       0.52129303
      3.0147   4.1127E+02       3.57065436       0.50400760
      3.0197   4.1058E+02       3.49312350       0.48979712
      3.0247   4.0991E+02       3.44641686       0.48132656
      3.0297   4.0923E+02       3.43452056       0.48055919
      3.0347   4.0856E+02       3.45620925       0.48783642
      3.0397   4.0788E+02       3.50514467       0.50151780
      3.0447   4.0721E+02       3.57091106       0.51848521
      3.0497   4.0655E+02       3.64079834       0.53515675
      3.0547   4.0588E+02       3.70197862       0.54843791
      3.0597   4.0522E+02       3.74363819       0.55630328
      3.0647   4.0456E+02       3.75865154       0.55798583
      3.0697   4.0390E+02       3.74450821       0.55385959
      3.0747   4.0324E+02       3.70338447       0.54512102
      3.0797   4.0259E+02       3.64143597       0.53339114
      3.0847   4.0193E+02       3.56752406       0.52037131
      3.0897   4.0128E+02       3.49165426       0.50764703
      3.0947   4.0063E+02       3.42340258       0.49663511
      3.0997   3.9999E+02       3.37055789       0.48856735
      3.1047   3.9934E+02       3.33814240       0.48438564
      3.1097   3.9870E+02       3.32790537       0.48452374
      3.1147   3.9806E+02       3.33832258       0.48869321
      3.1197   3.9742E+02       3.36507007       0.49584411
      3.1247   3.9679E+02       3.40187427       0.50437791
      3.1297   3.9615E+02       3.44157692       0.51254088
      3.1347   3.9552E+02       3.47721006       0.51884843
      3.1397   3.9489E+02       3.50287240       0.52240661
      3.1447   3.9426E+02       3.51424604       0.52305056
      3.1497   3.9364E+02       3.50868581       0.52127058
      3.1547   3.9301E+02       3.48493016       0.51794767
      3.1597   3.9239E+02       3.44258645       0.51397721
      3.1647   3.9177E+02       3.38160070       0.50990524
      3.1697   3.9115E+02       3.30191269       0.50570313
      3.1747   3.9054E+02       3.20342331       0.50075403
      3.1797   3.8992E+02       3.08628683       0.49404407
      3.1847   3.8931E+02       2.95142487       0.48448923
      3.1897   3.8870E+02       2.80107928       0.47130212
      3.1947   3.8809E+02       2.63920389       0.45430093
      3.1997   3.8749E+02       2.47154228       0.43407499
      3.2047   3.8688E+02       2.30533196       0.41195204
      3.2097   3.8628E+02       2.14867977       0.38976785
      3.2147   3.8568E+02       2.00973397       0.36950674
      3.2197   3.8508E+02       1.89581312       0.35293464
      3.2247   3.8448E+02       1.81263632       0.34134485
      3.2297   3.8389E+02       1.76375137       0.33546640
      3.2347   3.8329E+02       1.75020036       0.33548767
      3.2397   3.8270E+02       1.77042125       0.34110801
      3.2447   3.8211E+02       1.82036737       0.35157507
      3.2497   3.8153E+02       1.89383065       0.36572787
      3.2547   3.8094E+02       1.98296123       0.38207773
      3.2597   3.8035E+02       2.07896953       0.39893480
      3.2647   3.7977E+02       2.17296735       0.41457369
      3.2697   3.7919E+02       2.25685889       0.42743205
      3.2747   3.7861E+02       2.32414993       0.43632962
      3.2797   3.7804E+02       2.37052724       0.44067307
      3.2847   3.7746E+02       2.39408873       0.44058629
      3.2897   3.7689E+02       2.39517864       0.43689431
      3.2947   3.7631E+02       2.37587986       0.43090912
      3.2997   3.7574E+02       2.33930634       0.42403173
      3.3047   3.7518E+02       2.28888559       0.41729089
      3.3097   3.7461E+02       2.22780701       0.41102786
      3.3147   3.7404E+02       2.15874045       0.40490488
      3.3197   3.7348E+02       2.08382943       0.39823755
      3.3247   3.7292E+02       2.00487336       0.39045396
      3.3297   3.7236E+02       1.92356624       0.38142992
