DE/eV lambda/nm sigma/A^2 +/-error/A^2
2.9820 4.1578E+02 5.20948980 0.61179877
2.9870 4.1508E+02 5.06263144 0.59950577
2.9920 4.1439E+02 4.91035435 0.58795372
2.9970 4.1369E+02 4.75780554 0.57744186
3.0020 4.1301E+02 4.60859717 0.56788983
3.0070 4.1232E+02 4.46512129 0.55896827
3.0120 4.1163E+02 4.32906494 0.55027479
3.0170 4.1095E+02 4.20196808 0.54149614
3.0220 4.1027E+02 4.08566248 0.53252983
3.0270 4.0959E+02 3.98246195 0.52356330
3.0320 4.0892E+02 3.89503696 0.51510592
3.0370 4.0825E+02 3.82598554 0.50794854
3.0420 4.0757E+02 3.77719141 0.50302017
3.0470 4.0691E+02 3.74912221 0.50114126
3.0520 4.0624E+02 3.74025031 0.50273141
3.0570 4.0557E+02 3.74676637 0.50757775
3.0620 4.0491E+02 3.76270018 0.51476845
3.0670 4.0425E+02 3.78047587 0.52283194
3.0720 4.0359E+02 3.79182815 0.53003862
3.0770 4.0294E+02 3.78892140 0.53476584
3.0820 4.0228E+02 3.76546547 0.53581812
3.0870 4.0163E+02 3.71762561 0.53261920
3.0920 4.0098E+02 3.64457365 0.52523727
3.0970 4.0034E+02 3.54860548 0.51425964
3.1020 3.9969E+02 3.43483011 0.50058658
3.1070 3.9905E+02 3.31049718 0.48524433
3.1120 3.9841E+02 3.18406341 0.46930249
3.1170 3.9777E+02 3.06411237 0.45391571
3.1220 3.9713E+02 2.95824847 0.44041159
3.1270 3.9650E+02 2.87209712 0.43026414
3.1320 3.9586E+02 2.80855473 0.42479937
3.1370 3.9523E+02 2.76742742 0.42464715
3.1420 3.9460E+02 2.74555657 0.42923071
3.1470 3.9398E+02 2.73744123 0.43670241
3.1520 3.9335E+02 2.73624874 0.44447341
3.1570 3.9273E+02 2.73499336 0.45007480
3.1620 3.9211E+02 2.72760515 0.45192961
3.1670 3.9149E+02 2.70964172 0.44974043
3.1720 3.9087E+02 2.67851136 0.44439033
3.1770 3.9026E+02 2.63323807 0.43741188
3.1820 3.8964E+02 2.57394470 0.43022942
3.1870 3.8903E+02 2.50130233 0.42351011
3.1920 3.8842E+02 2.41616676 0.41694557
3.1970 3.8781E+02 2.31951326 0.40954501
3.2020 3.8721E+02 2.21263988 0.40021170
3.2070 3.8660E+02 2.09749612 0.38826564
3.2120 3.8600E+02 1.97695041 0.37371025
